uniprot_id,mb_n_zn,mb_n_cys_coordinating,mb_coord_per_zn,mb_mean_zn_s_dist,mb_std_zn_s_dist,mb_mean_szns_angle,mb_tetrahedral_dev,mb_mean_zn_zn_dist,mb_min_zn_zn_dist,mb_rg_zn_cluster,mb_rg_protein,mb_metal_protein_offset,mb_n_residues
A0A9W2WQ23,5,12,2.4,2.3262,0.3081,105.402,4.068,6.6815,3.1716,4.5867,9.3806,0.8357,56
A0A9W2WSD1,6,10,1.667,2.1814,0.207,127.311,17.841,10.9603,2.9386,8.1124,11.0845,0.8155,61
A0A9W2X6U7,7,18,2.571,2.3369,0.2746,111.503,2.033,10.511,2.8248,7.9294,11.1283,1.094,61
A0AA35XB41,9,19,2.111,2.303,0.2529,112.686,3.216,10.283,2.3845,7.7183,11.9085,1.4564,94
A0AA36BLK1,6,10,1.667,2.2965,0.2555,121.649,12.179,9.0188,2.8986,6.6006,10.8106,1.4123,69
A0AA89BWF8,5,12,2.4,2.3248,0.2477,111.624,2.154,3.9974,2.996,2.5714,12.8418,9.7585,115
A0AAD8D5K3,7,20,2.857,2.323,0.2577,110.19,0.72,9.9672,2.8174,7.4656,11.0873,2.1464,63
A0AAD8FMK1,11,26,2.364,2.301,0.2801,111.489,2.019,19.5052,2.6116,15.3192,17.5766,0.3092,124
A0AAD9BSH5,3,9,3.0,2.2522,0.2135,108.213,1.257,3.3364,3.1497,1.9282,36.5668,33.4974,70
A0AAE0Y359,6,16,2.667,2.2279,0.1897,109.3,0.17,9.3584,2.889,6.8214,10.774,0.7023,66
A0AAE1K2Q1,6,14,2.333,2.3304,0.2302,111.073,1.603,9.3717,2.8469,6.7765,30.6224,19.0843,87
A0AAN8JZ53,6,13,2.167,2.3689,0.2943,115.822,6.352,11.3448,2.7849,8.4435,11.1497,1.8584,70
A0AAN8K3G9,6,19,3.167,2.3598,0.2766,102.884,6.586,4.9001,2.9234,3.368,9.4079,1.7285,72
A0AAN8K993,6,12,2.0,2.302,0.3556,106.685,2.785,7.9434,2.4374,5.7652,10.6686,1.3094,72
A0AAN8KD72,6,10,1.667,2.4307,0.3182,100.467,9.003,7.7524,2.4838,5.5688,10.3633,2.3423,71
A0AAQ4PF34,7,12,1.714,2.4064,0.2596,105.16,4.31,11.0074,2.7232,8.3919,12.8521,3.4878,64
A0AAQ4R673,7,16,2.286,2.25,0.2447,116.894,7.424,12.0495,2.9559,9.1981,12.3982,1.8818,60
A0AAQ4REG4,6,12,2.0,2.3691,0.23,111.131,1.661,9.532,3.2582,6.9479,10.797,1.2829,57
A0AAV1PBI7,7,16,2.286,2.4257,0.2133,110.593,1.123,10.7427,2.9655,8.1589,11.2734,1.8187,60
A0AAV2HW41,5,14,2.8,2.425,0.202,108.426,1.044,9.9776,3.5111,7.1203,11.422,0.689,58
A0AAV2QT66,7,11,1.571,2.4294,0.2597,100.632,8.838,8.4826,2.4237,6.2835,15.6351,9.8275,102
A0AAV4ARX4,3,4,1.333,2.216,0.285,149.897,40.427,2.9574,2.4255,1.7539,11.9404,10.3814,81
A0AAV4EUN4,3,5,1.667,2.3608,0.2899,127.659,18.189,3.4498,3.0552,2.0105,11.1426,3.9743,83
A0AAV6GII3,7,18,2.571,2.3528,0.2622,110.754,1.284,11.2436,2.9559,8.5468,11.5685,1.8846,60
A0AAW1RJ05,9,26,2.889,2.2954,0.2935,107.057,2.413,16.0603,2.634,11.9193,20.5333,8.8751,126
A0AAW1RYH7,3,7,2.333,2.3252,0.3152,105.409,4.061,3.5014,2.6531,2.0703,20.0326,7.009,82
A0AAX4NZV8,3,10,3.333,2.3122,0.3397,109.244,0.226,3.3511,2.5261,2.0393,27.0719,18.3448,90
A0AAY4END1,7,20,2.857,2.252,0.2576,113.389,3.919,11.2623,3.1303,8.5622,11.5027,1.989,60
A0AAZ3Q663,7,21,3.0,2.3519,0.2742,112.258,2.788,10.6966,2.9097,8.0649,11.3391,1.4997,60
A0AAZ3RTC6,6,17,2.833,2.3394,0.2448,109.98,0.51,9.8754,2.8482,7.35,10.5995,1.8813,59
A0AAZ3STN5,7,20,2.857,2.3438,0.2438,112.837,3.367,9.5972,3.2242,7.1516,11.1328,0.9145,61
A0AB34HGU8,5,9,1.8,2.3748,0.3146,119.772,10.302,4.5189,2.6825,2.9736,12.2646,9.4721,110
A0AB34HM13,7,13,1.857,2.2594,0.2899,117.317,7.847,10.8124,2.5484,8.2289,11.4663,1.717,67
A0ABD0L8S5,3,5,1.667,2.407,0.4136,131.623,22.153,2.7786,2.4031,1.6229,16.4263,11.019,110
A0ABD0LPS7,3,8,2.667,2.2701,0.3078,113.632,4.162,4.4367,3.3277,2.6977,9.7935,1.4756,61
A0ABD2H640,7,18,2.571,2.2869,0.3184,113.392,3.922,11.0177,2.706,8.3698,11.5734,2.0111,60
A0ABD2H6M1,7,14,2.0,2.3594,0.3002,112.309,2.839,10.6451,2.6069,8.0702,11.3693,1.5432,60
A0ABD2H871,9,17,1.889,2.3749,0.2357,109.193,0.277,17.413,2.86,14.6671,22.688,17.1128,130
A0ABM3SGP1,7,14,2.0,2.3772,0.2997,106.955,2.515,12.1942,2.9827,9.3388,12.1727,1.7243,61
A0ABM3SL92,7,22,3.143,2.3491,0.299,111.248,1.778,11.9116,2.8716,9.1017,12.0061,1.7231,61
A0ABM3TLZ0,6,13,2.167,2.2927,0.2765,107.658,1.812,12.156,2.8457,9.0972,15.3862,5.8509,90
A0ABM3UGN0,5,15,3.0,2.3781,0.2506,111.831,2.361,9.8509,2.8634,7.1372,10.657,1.9397,53
A0ABM3UGU2,7,17,2.429,2.3701,0.2344,118.189,8.719,10.0933,3.2335,7.4961,11.4977,0.9242,64
A0ABN8LK53,5,8,1.6,2.2239,0.3078,140.449,30.979,4.0202,2.7255,2.6385,13.8167,8.798,117
A0ABN8LP55,3,12,4.0,2.3437,0.1749,109.287,0.183,3.603,3.4569,2.0818,29.2365,20.5501,89
A0ABN8PEI1,2,7,3.5,2.4127,0.2561,108.072,1.398,3.4719,3.4719,1.7359,47.0461,42.2771,91
A0ABN8QBS2,3,8,2.667,2.498,0.2179,108.162,1.308,2.9108,2.3152,1.7223,10.1455,5.8945,59
A0ABN8QFG8,3,10,3.333,2.2961,0.2248,111.23,1.76,3.626,3.4482,2.0948,24.6956,17.5765,89
A0ABN8S2V1,5,9,1.8,2.2736,0.3132,124.963,15.493,4.5237,2.6382,3.0054,14.3988,11.5319,106
A0ABQ7GJK0,3,4,1.333,2.1334,0.2759,119.462,9.992,5.0489,3.985,2.9571,9.9454,4.2689,70
A0ABQ9EAG0,7,21,3.0,2.3336,0.2301,111.39,1.92,11.5246,2.9081,8.7411,11.3519,0.5432,71
A0ABY7FRS2,6,16,2.667,2.3963,0.2749,112.222,2.752,14.6141,2.6518,11.1205,13.3342,0.8286,65
A0ABY8UHK5,6,16,2.667,2.2022,0.2844,111.711,2.241,8.5242,2.7278,6.1919,13.9946,3.9152,74
A0ACB7FDW3,3,11,3.667,2.3315,0.3147,108.224,1.246,3.1161,2.2825,1.8749,14.7836,16.4564,93
A0ACB9XHR6,7,16,2.286,2.386,0.2677,107.063,2.407,11.2792,3.0097,8.6001,11.6477,2.097,60
A1XDQ0,7,23,3.286,2.3664,0.2134,109.552,0.082,10.8303,2.836,8.1872,11.6143,1.2028,75
A1YWB3,7,17,2.429,2.3635,0.2312,116.432,6.962,11.3061,2.4733,8.642,11.1879,0.5736,73
A1YWB4,8,23,2.875,2.3465,0.2729,112.617,3.147,11.9022,2.7411,9.1874,11.8053,2.7738,72
A2I5Y3,7,11,1.571,2.2633,0.2986,116.098,6.628,10.099,2.602,7.6375,10.7495,0.5908,64
A2I5Y4,6,12,2.0,2.2601,0.2328,115.313,5.843,6.846,3.1477,4.9032,9.1158,2.0695,59
A3FM99,7,15,2.143,2.2381,0.2355,116.856,7.386,11.6536,2.9699,8.8847,12.1776,2.0735,60
A3RG99,4,13,3.25,2.3041,0.2932,111.081,1.611,4.1489,2.9305,2.6774,8.8066,1.3752,44
A4RUP3,3,6,2.0,2.3906,0.1982,102.725,6.745,3.2042,2.754,1.8597,20.6668,12.6681,71
A4S3C7,5,15,3.0,2.3677,0.2516,112.535,3.065,8.5309,2.7985,6.0721,9.5924,0.8057,51
A5A2H9,6,17,2.833,2.3398,0.2466,110.236,0.766,9.9947,2.6367,7.6269,11.0207,1.4345,66
A5A2I2,7,15,2.143,2.3963,0.2684,114.348,4.878,9.6643,2.5405,7.2952,11.2405,1.6848,73
A7DY24,6,16,2.667,2.3999,0.2845,108.932,0.538,8.2753,2.8408,5.9756,9.8604,1.6526,58
A7DY25,6,14,2.333,2.1772,0.2627,119.19,9.72,7.5205,2.4913,5.4035,9.7306,1.5083,58
A7DY26,6,15,2.5,2.3239,0.276,117.414,7.944,7.565,3.132,5.4111,9.7576,1.6495,58
A7DY27,6,12,2.0,2.3926,0.3173,110.96,1.49,8.5753,2.6416,6.2513,9.7296,2.0914,58
A7DY28,6,12,2.0,2.2962,0.3282,123.836,14.366,9.5394,2.3643,7.0111,10.1451,1.2205,58
A7DY29,6,16,2.667,2.2608,0.2565,111.389,1.919,9.239,2.616,6.7247,10.491,1.3564,60
A7DY30,6,14,2.333,2.4199,0.2756,108.483,0.987,7.3739,2.7047,5.3096,9.7859,1.558,58
A7DY31,6,13,2.167,2.3526,0.266,105.686,3.784,7.2291,2.1777,5.204,9.8287,1.2866,59
A7DY32,6,15,2.5,2.3734,0.2921,113.692,4.222,8.1326,3.1739,5.8761,10.1951,1.399,58
A7DY33,6,14,2.333,2.333,0.3275,117.33,7.86,6.8244,2.5037,4.8967,9.7871,1.4117,58
A7DY34,6,17,2.833,2.3119,0.2377,106.771,2.699,8.3312,3.0585,6.0364,10.1471,1.8424,58
A7DY35,6,16,2.667,2.2799,0.2652,113.367,3.897,6.2742,3.1062,4.3587,9.1489,1.7262,58
A7DY36,6,17,2.833,2.3569,0.3181,111.692,2.222,6.7741,2.6032,4.8632,9.3374,1.956,58
A7LBN4,7,25,3.571,2.4051,0.1896,110.122,0.652,11.1882,2.9948,8.4636,11.5507,1.3523,72
A7Y9I4,7,14,2.0,2.3262,0.2324,119.406,9.936,10.9129,2.8675,8.272,11.377,1.9906,60
A8DPB8,5,11,2.2,2.3433,0.3128,110.137,0.667,9.7182,3.1566,6.9951,10.2071,1.8067,47
A9NJG1,6,21,3.5,2.3679,0.2726,111.658,2.188,11.595,2.6358,8.7063,11.7067,2.2728,66
B0FYY2,7,17,2.429,2.3644,0.3254,115.771,6.301,11.8299,3.1463,9.0186,12.0044,2.2015,60
B1Q016,7,14,2.0,2.2617,0.3128,120.05,10.58,10.6676,2.5137,8.1227,11.3625,1.0429,72
B2KNX2,7,18,2.571,2.3449,0.2653,111.184,1.714,11.638,2.8482,8.8946,11.8084,1.9783,60
B5T1N2,7,18,2.571,2.3544,0.2741,114.762,5.292,10.4002,3.1639,7.8207,11.2023,1.6125,60
B5U0R0,7,21,3.0,2.4059,0.254,108.73,0.74,12.0424,3.2009,9.1742,11.963,0.2641,75
B6CM32,7,17,2.429,2.4094,0.2102,116.247,6.777,11.0558,3.1727,8.3905,11.4865,1.9702,60
B8XJJ2,7,20,2.857,2.3671,0.2925,111.901,2.431,11.1634,2.7456,8.4344,11.9555,1.2212,75
C0IN14,7,15,2.143,2.2366,0.2427,112.435,2.965,10.3484,3.0985,7.7149,11.3617,1.6591,85
C0IN15,7,18,2.571,2.3954,0.2109,111.582,2.112,11.1266,2.495,8.4975,12.0926,1.1903,80
C1IE33,7,18,2.571,2.4285,0.2303,107.417,2.053,10.525,2.7912,7.9467,11.5912,1.3876,78
C1IE34,7,13,1.857,2.3223,0.2491,110.218,0.748,11.1883,2.6618,8.4902,11.6567,1.1822,80
C1IE35,7,24,3.429,2.3116,0.2443,106.99,2.48,11.5158,2.6331,8.7934,11.6829,0.4483,80
C1IE36,7,20,2.857,2.401,0.2591,114.578,5.108,12.5752,2.7577,9.5995,12.5505,2.0024,80
C1IE37,7,17,2.429,2.211,0.265,116.001,6.531,11.5806,2.7422,8.64,11.7165,1.7392,83
C1KGV1,5,12,2.4,2.2971,0.3271,110.649,1.179,4.1228,2.7773,2.7235,8.5673,1.8549,44
C5H5D7,9,19,2.111,2.2213,0.2689,109.621,0.151,13.418,3.0958,10.1335,12.8914,1.7251,110
C6KEH6,7,22,3.143,2.3529,0.2712,113.396,3.926,11.0051,2.4733,8.3964,11.1575,1.4982,71
D1LZJ8,6,15,2.5,2.3338,0.2209,117.988,8.518,9.7068,2.6564,7.153,10.7859,0.9763,64
D1LZJ9,6,23,3.833,2.4181,0.2876,109.265,0.205,10.2431,2.6928,7.5743,10.9945,1.6689,64
D2XV88,5,12,2.4,2.2443,0.2762,118.779,9.309,7.9983,3.173,5.7293,10.5814,2.5249,59
D3VN22,6,9,1.5,2.4924,0.2015,98.135,11.335,7.8605,2.7357,5.6901,9.8565,1.5285,58
D3VN23,6,11,1.833,2.2296,0.2705,121.905,12.435,7.176,2.367,5.1596,9.8713,1.4478,58
D3VN24,6,15,2.5,2.2781,0.2771,118.201,8.731,8.1491,2.7159,5.894,9.8482,1.2597,58
D4HNE2,6,16,2.667,2.328,0.2382,108.494,0.976,10.6425,2.6685,7.9092,10.9218,1.6116,59
D5FXN7,7,14,2.0,2.4001,0.2292,106.567,2.903,10.5637,2.4943,8.0217,11.4703,1.9418,60
D5FXN8,7,18,2.571,2.3084,0.2556,111.658,2.188,10.7053,2.9742,8.0977,11.431,1.6093,60
D5FXN9,7,18,2.571,2.344,0.3087,108.716,0.754,10.7419,2.868,8.1447,11.4521,1.786,60
D5FXP0,7,17,2.429,2.4365,0.2626,108.873,0.597,11.1383,2.9886,8.446,11.543,2.0116,60
D5FXP1,7,18,2.571,2.4304,0.2849,106.293,3.177,10.6302,2.9301,8.0416,11.2694,1.9037,60
D5FXP2,7,18,2.571,2.4073,0.2789,113.244,3.774,11.2582,2.6202,8.5543,11.7969,1.8431,60
D5FXP3,6,13,2.167,2.3615,0.2642,106.781,2.689,11.3855,3.1995,8.4439,11.568,1.2529,60
D5FXP4,7,17,2.429,2.3629,0.3052,111.926,2.456,11.369,2.9424,8.6692,11.8904,1.9284,60
D5FXP5,6,14,2.333,2.3037,0.2213,104.899,4.571,11.069,3.1776,8.1961,11.9495,1.0805,60
D5FXP6,7,15,2.143,2.2812,0.2614,117.643,8.173,11.2378,2.6397,8.568,11.8173,1.825,60
D5FXP7,7,14,2.0,2.2527,0.2117,113.64,4.17,10.9737,2.785,8.3432,11.7732,1.9849,60
D5FXP8,7,18,2.571,2.2971,0.2892,113.244,3.774,11.5368,2.8127,8.7884,11.8663,2.0323,60
D5FXP9,7,13,1.857,2.3028,0.2654,116.653,7.183,10.7973,2.6989,8.1935,11.3282,2.1853,60
D5FXQ0,7,16,2.286,2.2983,0.2566,115.646,6.176,11.3274,3.0362,8.6541,11.7371,1.9999,60
D5LN07,7,20,2.857,2.2776,0.2717,110.026,0.556,11.6022,3.1961,8.8406,11.826,1.9042,60
E4XKB4,7,19,2.714,2.3576,0.3227,107.777,1.693,11.2693,2.5628,8.6044,11.3048,1.0387,72
E5KXY4,6,16,2.667,2.3115,0.2576,110.291,0.821,8.675,2.9785,6.3257,10.0742,1.6183,58
E6Y2Z6,6,18,3.0,2.3017,0.2544,111.254,1.784,14.6089,2.9008,11.0558,13.4017,2.2428,69
E9K8X5,6,12,2.0,2.4091,0.2592,117.833,8.363,6.3561,2.7433,4.558,9.8325,1.132,59
E9NMF3,7,20,2.857,2.3437,0.2785,111.862,2.392,11.4062,3.4046,8.6576,11.6898,1.6722,73
E9NMF5,7,18,2.571,2.4554,0.2785,117.857,8.387,9.8685,2.6311,7.4368,10.6668,1.1338,69
F4Y9K5,7,19,2.714,2.2847,0.3015,110.89,1.42,10.1432,3.1135,7.6812,11.5165,1.5306,76
F5A7P5,7,21,3.0,2.3028,0.318,113.434,3.964,10.4192,3.0465,7.9315,11.2857,1.1032,75
F6K6C6,5,13,2.6,2.3948,0.2425,112.398,2.928,9.7591,2.4872,7.0826,11.3795,2.7994,74
F6M9X3,6,18,3.0,2.3108,0.2481,106.919,2.551,11.3255,2.641,8.447,11.9534,1.6775,62
F8UU34,6,14,2.333,2.3373,0.2659,109.364,0.106,6.3103,3.1614,4.3932,9.6464,1.4903,59
H2DFQ0,7,20,2.857,2.4116,0.2312,112.57,3.1,11.0018,2.5753,8.3586,11.4897,1.1735,73
H2DFQ1,7,24,3.429,2.385,0.2594,108.001,1.469,10.8542,3.1552,8.1691,11.615,0.884,73
H2DFQ2,7,24,3.429,2.3915,0.2454,109.945,0.475,11.2562,2.696,8.5181,11.7038,1.3093,73
H2DFQ3,7,21,3.0,2.3744,0.2591,109.579,0.109,11.6581,2.7793,8.8662,12.1321,1.1628,73
H2DFQ4,7,22,3.143,2.3705,0.213,110.586,1.116,12.6818,3.3092,9.7222,12.255,1.4882,73
H2DFQ5,7,23,3.286,2.3721,0.2555,110.381,0.911,12.3037,2.7188,9.4445,12.1012,1.3243,73
H2DFQ6,7,23,3.286,2.3325,0.2981,111.807,2.337,12.3703,2.7486,9.5318,11.8589,0.773,72
H2DFQ7,7,13,1.857,2.3577,0.2435,110.859,1.389,11.4758,2.7183,8.8125,11.6001,1.0782,72
H2DFQ8,7,18,2.571,2.3199,0.2664,115.432,5.962,11.9183,2.9464,9.1573,11.6881,0.7525,72
H2DFQ9,7,20,2.857,2.3768,0.2831,109.03,0.44,11.9537,2.5115,9.1905,11.6954,1.1292,72
H2ZRN7,6,17,2.833,2.3649,0.2405,113.705,4.235,10.2553,3.3183,7.5141,11.6154,1.746,62
H6BD71,4,7,1.75,2.3154,0.2459,110.702,1.232,3.7881,2.8373,2.3673,10.2534,3.7596,55
H6UE75,6,17,2.833,2.3332,0.2798,115.23,5.76,10.8872,3.1832,8.0718,11.4386,0.6265,60
H9LIF2,7,17,2.429,2.4068,0.2737,115.794,6.324,10.6452,2.6376,8.0891,11.5749,1.1921,75
H9LJ30,9,20,2.222,2.4031,0.26,110.065,0.595,10.2122,2.5604,7.7566,11.5592,1.5872,86
I0CAM4,7,21,3.0,2.3714,0.2491,114.297,4.827,10.5171,3.1136,8.0022,11.2268,1.1731,73
I1SRL5,7,18,2.571,2.3479,0.2665,114.538,5.068,10.903,2.9528,8.2586,11.3076,1.8572,60
I1U3Q5,7,15,2.143,2.2017,0.2159,120.259,10.789,11.6621,3.0965,8.8971,12.0112,2.269,60
I3NLQ1,6,21,3.5,2.3732,0.2896,105.413,4.057,9.0373,2.9855,6.5644,10.1252,1.4514,57
K4FSB9,7,21,3.0,2.4012,0.2955,107.14,2.33,12.1054,2.8814,9.2639,12.2464,2.2306,62
K4G976,7,20,2.857,2.4717,0.2364,106.017,3.453,12.3347,2.7531,9.4891,12.3703,2.0483,62
K4G9J9,7,20,2.857,2.3983,0.2368,109.618,0.148,11.3333,2.7972,8.641,11.9984,2.0649,62
K4G9S1,7,14,2.0,2.2599,0.2469,116.874,7.404,10.6534,2.159,8.1001,11.5727,1.8552,62
K4GAK2,7,16,2.286,2.3357,0.2684,112.866,3.396,12.9472,2.8293,9.9485,12.8028,2.3095,62
K4GAT6,7,18,2.571,2.3784,0.2945,109.273,0.197,11.2174,2.665,8.5265,11.6805,2.1496,62
K4GCD5,6,21,3.5,2.4485,0.2709,107.267,2.203,11.8215,3.0466,8.8196,12.2481,1.5025,62
K9J9Q8,7,14,2.0,2.3943,0.286,110.481,1.011,10.5925,2.5042,8.0743,11.749,0.9946,75
M1EX80,6,15,2.5,2.4122,0.2621,109.058,0.412,9.0395,2.755,6.6567,10.7241,1.2868,68
O02033,7,20,2.857,2.4406,0.3017,108.649,0.821,10.4782,2.477,7.9005,11.3356,1.9316,68
O13257,7,17,2.429,2.2659,0.2869,119.336,9.866,11.945,3.2659,9.1112,11.987,2.2704,60
O13269,7,16,2.286,2.3462,0.3099,118.161,8.691,10.8332,2.774,8.1776,11.4846,2.1239,60
O18842,7,22,3.143,2.3309,0.2576,111.858,2.388,12.2263,3.0471,9.3135,12.1749,1.5735,61
O62554,7,24,3.429,2.3982,0.192,107.251,2.219,12.5654,2.9741,9.5972,12.0671,1.4154,73
O93450,7,16,2.286,2.3014,0.2507,114.057,4.587,11.1093,2.7696,8.429,11.6392,1.4905,60
O93571,7,19,2.714,2.384,0.3213,111.3,1.83,11.879,2.8039,9.0597,12.0672,1.8254,60
O93593,7,20,2.857,2.3217,0.2175,111.265,1.795,10.715,2.948,8.0874,11.4102,1.7843,60
O93609,7,17,2.429,2.3676,0.2671,112.613,3.143,11.4014,3.0029,8.6919,11.7754,1.9896,60
P02805,6,15,2.5,2.3578,0.2293,108.626,0.844,8.2892,3.1274,6.01,9.9688,1.7706,58
P02806,6,17,2.833,2.2997,0.2651,104.721,4.749,10.5062,3.03,7.7535,10.6928,1.4424,57
P04734,7,15,2.143,2.3631,0.2997,116.168,6.698,7.0731,2.9165,5.1129,9.9249,2.1415,64
P07216,7,13,1.857,2.4775,0.1858,105.526,3.944,11.0573,2.551,8.3811,11.537,2.2697,60
P14425,7,19,2.714,2.2724,0.2908,115.84,6.37,11.3074,2.6102,8.5702,11.4622,1.1809,61
P23038,7,23,3.286,2.4626,0.2404,107.636,1.834,11.4021,3.3898,8.7056,12.1851,1.4898,75
P25127,7,15,2.143,2.3459,0.234,109.072,0.398,10.9693,2.9168,8.3114,11.5309,1.6285,60
P25128,7,17,2.429,2.3654,0.2084,111.853,2.383,11.0195,2.7788,8.3764,11.4195,1.8556,60
P29499,6,13,2.167,2.4741,0.3113,104.658,4.812,6.5233,2.8366,4.5904,9.4618,1.649,56
P33187,6,21,3.5,2.412,0.2255,109.465,0.005,10.7805,3.1972,7.9277,11.2612,1.6607,66
P51902,7,17,2.429,2.3694,0.2393,109.835,0.365,10.6269,3.0266,8.0242,11.2453,1.7945,60
P52720,7,15,2.143,2.3221,0.169,109.376,0.094,11.0236,2.7968,8.3314,11.4539,1.8766,60
P52721,7,17,2.429,2.3479,0.2319,120.125,10.655,11.7286,2.8339,8.9352,11.9448,1.5726,60
P52722,7,19,2.714,2.3121,0.2649,114.148,4.678,11.0072,2.9903,8.315,11.5229,1.7016,60
P52723,7,11,1.571,2.5834,0.2416,110.38,0.91,11.3787,2.2709,8.7087,11.8471,1.8034,60
P52724,7,18,2.571,2.3327,0.2282,115.284,5.814,11.7403,3.0909,8.9515,12.0326,2.0784,60
P52725,7,17,2.429,2.3536,0.2488,115.221,5.751,10.6948,3.085,8.0929,11.3806,1.9563,60
P52726,7,18,2.571,2.4018,0.2559,110.896,1.426,10.7835,2.8439,8.1578,11.0818,2.131,60
P52727,7,20,2.857,2.3311,0.2645,113.546,4.076,10.9597,2.9196,8.303,11.4773,1.949,60
P52728,7,17,2.429,2.2847,0.2859,121.02,11.55,11.5178,3.0557,8.7266,11.874,1.482,60
P55945,7,16,2.286,2.3645,0.2721,112.045,2.575,10.9171,2.9135,8.2753,11.4254,1.9594,60
P55946,6,13,2.167,2.2147,0.3443,121.382,11.912,10.9042,2.5761,8.1002,11.4394,1.7742,66
P55947,6,22,3.667,2.4229,0.1765,109.262,0.208,9.9203,3.4794,7.2369,10.8076,1.4415,64
P55948,6,17,2.833,2.3248,0.2967,110.445,0.975,8.9971,2.9795,6.5319,10.3829,1.8818,58
P55949,6,14,2.333,2.3876,0.2697,110.7,1.23,6.3922,2.9156,4.537,9.2928,1.9505,59
P55950,6,14,2.333,2.366,0.2664,104.09,5.38,8.4966,2.255,6.2174,9.8559,1.7447,58
P55951,6,16,2.667,2.2692,0.2515,111.459,1.989,9.8235,2.9033,7.1815,10.3613,1.2776,58
P55952,6,11,1.833,2.4417,0.2514,104.811,4.659,8.4286,2.7922,6.1188,9.9583,1.659,58
P55953,7,15,2.143,2.4183,0.2688,109.177,0.293,6.991,2.9331,5.1037,9.5892,1.8724,64
P62338,7,12,1.714,2.3616,0.2957,105.333,4.137,10.1541,2.7006,7.6586,11.3795,1.576,60
P62339,7,17,2.429,2.3599,0.3553,110.874,1.404,10.7453,2.5545,8.163,11.5929,1.7833,60
P62678,7,17,2.429,2.3213,0.2733,111.92,2.45,11.088,2.9036,8.3829,11.7028,1.7908,60
P62679,7,12,1.714,2.3868,0.2296,112.825,3.355,11.0755,2.5552,8.4458,11.6518,2.0198,60
P62680,7,21,3.0,2.439,0.218,111.962,2.492,11.1256,3.0777,8.4391,11.6285,1.892,60
P62681,7,13,1.857,2.4363,0.258,109.887,0.417,11.0653,2.3476,8.3961,11.6377,2.007,60
P62682,7,20,2.857,2.3966,0.2779,111.317,1.847,10.7899,2.9893,8.1775,11.5998,1.8819,60
P62711,7,13,1.857,2.3498,0.1742,116.914,7.444,11.3301,2.6201,8.6571,11.8247,2.0111,60
P62712,7,17,2.429,2.2484,0.2495,113.228,3.758,12.0624,3.0286,9.2293,12.2704,2.1924,60
P62713,7,17,2.429,2.3296,0.2816,114.697,5.227,11.74,3.1605,8.9673,12.0367,1.8818,60
P68501,7,18,2.571,2.4269,0.2828,107.131,2.339,10.9309,2.8666,8.2498,11.4544,1.6866,60
P68502,7,17,2.429,2.3033,0.2742,110.293,0.823,10.649,3.0032,8.0488,11.4921,1.6012,60
P68503,7,21,3.0,2.2794,0.2619,117.507,8.037,9.3963,3.077,6.9734,10.8697,1.2414,61
P68504,7,16,2.286,2.2228,0.2635,115.841,6.371,9.4019,3.1595,6.9879,10.8778,1.2397,61
P68505,7,14,2.0,2.4634,0.2657,110.027,0.557,9.0237,2.4569,6.683,10.8712,0.6237,61
P68506,7,15,2.143,2.3417,0.2906,110.02,0.55,11.0622,2.524,8.4121,11.52,2.2561,60
P68507,7,20,2.857,2.3615,0.2016,117.187,7.717,11.9389,3.1709,9.1001,12.1304,2.194,60
P68508,7,17,2.429,2.2754,0.2832,114.452,4.982,11.3968,2.5558,8.7092,11.9285,2.2306,60
P69153,8,22,2.75,2.4266,0.2546,110.292,0.822,11.185,2.8442,8.5621,11.5861,2.356,72
P69154,8,18,2.25,2.4079,0.2892,113.121,3.651,10.9924,2.7837,8.4218,11.3549,2.4266,72
P80246,7,14,2.0,2.3642,0.3078,123.257,13.787,10.4089,3.1042,7.812,11.8681,1.5331,73
P80247,7,15,2.143,2.3333,0.2949,109.699,0.229,11.2995,2.9237,8.6779,11.3696,0.6129,73
P80248,7,19,2.714,2.3854,0.2593,110.736,1.266,11.3766,2.5284,8.6371,11.8584,1.8126,73
P80249,7,21,3.0,2.3931,0.2419,112.705,3.235,11.6211,3.2149,8.8385,11.9407,1.8737,73
P80251,8,19,2.375,2.2947,0.2619,115.454,5.984,10.175,2.9611,7.7357,11.0553,1.972,71
P80252,8,19,2.375,2.3704,0.3169,114.916,5.446,11.9133,2.6932,9.1856,12.0379,2.9146,72
P80258,8,19,2.375,2.4439,0.1816,114.186,4.716,10.1129,2.0179,7.6607,10.835,1.8182,71
P80367,7,16,2.286,2.444,0.2486,103.745,5.725,9.3149,3.039,6.9053,10.8601,1.9012,65
P80593,7,17,2.429,2.3571,0.2862,107.782,1.688,11.1805,3.0007,8.497,11.5939,1.9866,60
Q0H9V6,8,23,2.875,2.3491,0.2915,109.382,0.088,10.1182,2.2366,7.7069,11.8834,1.4361,83
Q0H9V7,8,23,2.875,2.3681,0.2727,109.123,0.347,11.0215,2.5593,8.4313,11.6485,2.0221,83
Q0H9V8,8,20,2.5,2.3672,0.2469,108.972,0.498,10.081,1.783,7.6938,11.863,1.247,83
Q0PHS7,7,18,2.571,2.3148,0.2192,116.027,6.557,12.2231,2.5963,9.346,11.6715,0.6233,73
Q0PHS8,7,20,2.857,2.4062,0.2167,110.727,1.257,11.1172,3.2136,8.4102,11.2398,0.3241,73
